id,title,lat,lng,price,rating_text,source_file
RGVtYW5kU3RheUxpc3Rpbmc6NDYzMzEyNDU=,Homie Suites | Maçka | 70 m² 1 yatak odalı daire #M3,41.0434,28.9976,28580.0,"4,95 (60)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTU3MzA0MjM2NTA3NTc5NjkyMg==,"Beşiktaş'ta merkezi apartman dairesi, çekyatlı yatak odası",41.04422,29.00065,11989.0,Yeni,airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6OTkyMDYzMTgxNjk1MjcxMTk4,Beşiktaş Akaretler'de şık daire,41.0439,28.9997,23155.0,"4,83 (136)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6OTE3Mjc3OTE1Nzg4OTA3MTY4,"S - British C.|07| Akaretler,tarz",41.0437,29.0015,16957.0,"4,29 (7)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTQxMDc0OTQ1MjAxMDc4OTU1OA==,Beşiktaş Akaretler’de Oda,41.04343593709393,28.998467199109,12408.0,"4,45 (20)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6ODY5MjA1MjE0MTQyNjY2NjU1,"İstanbul'un göbeğinde, konforlu ve güzel",41.0448,29.0019,14618.0,"4,85 (108)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6ODk5MDMzMTEyNTg2OTE4MDM0,Beşiktaş Meydanda Mükemmel Daire No 4,41.044,29.0042,13215.0,"4,63 (32)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTQwNzE5Nzk4MzQ1MzcxMDI0Mw==,Akaretlerde Oda_,41.04383,29.00098,9122.0,"4,94 (17)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTQ2ODE4MDMwOTcyNzczODAzMQ==,Boğaz manzaralı ortak teraslı D401,41.0432,29.0018,14618.0,"4,4 (15)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTQ5NjIwNDA0MjIwMzgyODgyMw==,Şık oda @Beşiktaş | Metro ve tarihi şehir yakınında,41.04213,28.99881,8581.0,"4,2 (5)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTU1NzIzOTgzNjkxMDkzMzY0OA==,Beşiktaş merkezde akaretlerde mutfalik elit mekan,41.04242,29.00301,14033.0,"3,67 (3)",airbnb_20251222_173512.json
RGVtYW5kU3RheUxpc3Rpbmc6MTQ3Mjk2OTQ2NjY2MzE5NTY0OA==,İstanbul Merkezde Sıcak Atmosferli Stüdyo 3,41.04493207437395,29.003503348024296,11987.0,"4,31 (13)",airbnb_20251222_173512.json
